                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 2.3474,                 1.7331,                  1.956,                0.58973,                0.44031,                0.48222,                0.26991,                 2.8437,                 2.6063,                 2.2757,              0.0002317,              0.0002317,              0.0002317
                     87,                 2.3594,                 1.7245,                 1.9546,                0.58943,                 0.4254,                0.47255,                0.25891,                 2.8454,                 2.6256,                 2.2828,             0.00022972,             0.00022972,             0.00022972
                     88,                 2.3693,                 1.7139,                 1.9638,                0.61533,                0.44656,                 0.4815,                0.26944,                 2.8432,                 2.5999,                 2.2777,             0.00022774,             0.00022774,             0.00022774
                     89,                 2.3495,                 1.7045,                 1.9574,                 0.5843,                0.45254,                0.47164,                0.26392,                 2.8291,                 2.6448,                 2.2618,             0.00022576,             0.00022576,             0.00022576
                     90,                 2.3341,                 1.6941,                 1.9613,                0.60226,                0.44034,                0.47508,                0.26541,                 2.8549,                 2.6393,                 2.2726,             0.00022378,             0.00022378,             0.00022378
                     91,                 2.3487,                 1.7023,                  1.954,                0.58433,                0.44364,                0.47542,                0.26501,                 2.8399,                 2.6325,                 2.2784,              0.0002218,              0.0002218,              0.0002218
                     92,                 2.3409,                 1.7112,                 1.9577,                  0.555,                0.47506,                0.47538,                 0.2709,                 2.8158,                 2.6035,                  2.278,             0.00021982,             0.00021982,             0.00021982
                     93,                 2.3128,                 1.6804,                 1.9486,                0.53701,                0.45205,                0.47347,                0.26915,                 2.8138,                 2.6349,                 2.2641,             0.00021784,             0.00021784,             0.00021784
                     94,                  2.336,                 1.6785,                  1.945,                0.57643,                0.44022,                0.47781,                 0.2706,                 2.8216,                    2.6,                 2.2738,             0.00021586,             0.00021586,             0.00021586
                     95,                 2.3268,                 1.6754,                 1.9433,                0.59649,                0.44493,                0.48168,                0.26707,                 2.8529,                 2.6516,                  2.286,             0.00021388,             0.00021388,             0.00021388
                     96,                 2.3041,                 1.6503,                 1.9433,                0.54272,                0.47541,                0.47803,                0.26832,                  2.816,                 2.6827,                 2.2634,              0.0002119,              0.0002119,              0.0002119
                     97,                 2.3098,                  1.659,                 1.9479,                0.53193,                0.47849,                0.48002,                0.26754,                 2.8332,                 2.6485,                 2.2568,             0.00020992,             0.00020992,             0.00020992
                     98,                 2.3073,                  1.651,                 1.9355,                0.55449,                0.47312,                0.47578,                0.26922,                 2.8375,                 2.6556,                 2.2727,             0.00020794,             0.00020794,             0.00020794
                     99,                 2.2928,                  1.639,                   1.94,                0.53378,                0.48263,                0.47448,                0.26638,                 2.8459,                 2.6558,                 2.2677,             0.00020596,             0.00020596,             0.00020596
                    100,                 2.3075,                 1.6617,                 1.9396,                 0.5976,                0.41603,                0.47496,                0.26563,                 2.8249,                 2.6627,                 2.2626,             0.00020398,             0.00020398,             0.00020398
                    101,                 2.3479,                  1.667,                 1.9439,                0.56632,                0.44397,                0.46932,                 0.2608,                 2.8562,                  2.705,                 2.2934,               0.000202,               0.000202,               0.000202
                    102,                 2.2881,                 1.6398,                 1.9364,                0.55389,                0.47211,                0.47267,                0.27338,                 2.8065,                 2.6387,                 2.2517,             0.00020002,             0.00020002,             0.00020002
