                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                 1.8968,                  1.156,                 1.8688,                0.72626,                0.45585,                0.51484,                 0.3013,                 2.8188,                 2.6884,                  2.525,             0.00015448,             0.00015448,             0.00015448
                    126,                 1.8753,                 1.1385,                 1.8594,                  0.734,                0.46693,                0.51395,                 0.3013,                 2.8026,                 2.7203,                  2.512,              0.0001525,              0.0001525,              0.0001525
                    127,                 1.8977,                 1.1495,                 1.8613,                0.64409,                0.48737,                0.51938,                0.29773,                 2.8246,                 2.7212,                 2.5293,             0.00015052,             0.00015052,             0.00015052
                    128,                 1.8491,                 1.1265,                 1.8568,                0.74601,                0.45442,                0.50842,                0.29965,                 2.7966,                 2.7664,                 2.5025,             0.00014854,             0.00014854,             0.00014854
                    129,                 1.8709,                 1.1353,                 1.8653,                0.56441,                0.49326,                0.50605,                0.29836,                  2.787,                 2.7175,                 2.4947,             0.00014656,             0.00014656,             0.00014656
                    130,                 1.8654,                 1.1386,                 1.8593,                0.58849,                0.48867,                0.51333,                0.30376,                 2.7926,                 2.7215,                 2.5118,             0.00014458,             0.00014458,             0.00014458
                    131,                  1.829,                 1.1134,                 1.8554,                0.59776,                 0.4904,                0.51345,                0.29539,                 2.7904,                 2.7278,                 2.5083,              0.0001426,              0.0001426,              0.0001426
                    132,                 1.8225,                 1.1018,                 1.8497,                0.66525,                0.46427,                0.50592,                0.29882,                 2.7895,                 2.7428,                 2.5153,             0.00014062,             0.00014062,             0.00014062
                    133,                 1.8544,                 1.1208,                  1.855,                0.68996,                0.46966,                0.51974,                 0.3039,                 2.8028,                 2.7067,                 2.5257,             0.00013864,             0.00013864,             0.00013864
                    134,                 1.8308,                 1.1103,                 1.8547,                0.61284,                0.48669,                0.52559,                0.30543,                 2.7965,                 2.7568,                 2.5114,             0.00013666,             0.00013666,             0.00013666
                    135,                 1.8582,                 1.1229,                 1.8546,                0.58941,                0.49709,                0.52009,                 0.3033,                 2.8041,                 2.7742,                 2.5168,             0.00013468,             0.00013468,             0.00013468
